SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
472000	7.00000	3.00000	147.00000	32.00000	1225.00000	
473000	5.00000	3.00000	165.00000	19.00000	1016.00000	
474000	7.00000	3.00000	151.00000	35.00000	1137.00000	
475000	7.00000	3.00000	157.00000	23.00000	1113.00000	
476000	5.00000	2.00000	161.00000	30.00000	1042.00000	
477000	6.00000	3.00000	146.00000	21.00000	926.00000	
478000	4.00000	2.00000	160.00000	16.00000	609.00000	
479000	12.00000	0.00000	177.00000	60.00000	2428.00000	
480000	12.00000	0.00000	159.00000	40.00000	1984.00000	
481000	8.00000	0.00000	169.00000	42.00000	1490.00000	
482000	3.00000	0.00000	166.00000	20.00000	645.00000	
483000	6.00000	0.00000	169.00000	26.00000	1095.00000	
484000	8.00000	2.00000	162.00000	27.00000	1374.00000	
485000	10.00000	2.00000	156.00000	33.00000	1185.00000	
486000	9.00000	2.00000	173.00000	43.00000	1717.00000	
487000	10.00000	3.00000	178.00000	41.00000	1892.00000	
488000	12.00000	4.00000	179.00000	55.00000	2354.00000	
489000	8.00000	2.00000	171.00000	35.00000	1488.00000	
490000	12.00000	0.00000	191.00000	78.00000	3058.00000	
491000	10.00000	1.00000	184.00000	65.00000	2297.00000	
492000	7.00000	0.00000	178.00000	25.00000	1213.00000	
493000	4.00000	2.00000	153.00000	13.00000	528.00000	
494000	3.00000	3.00000	154.00000	9.00000	396.00000	
495000	4.00000	1.00000	159.00000	22.00000	681.00000	
496000	6.00000	0.00000	165.00000	36.00000	1165.00000	
497000	8.00000	0.00000	166.00000	33.00000	1288.00000	
498000	8.00000	1.00000	155.00000	30.00000	1205.00000	
499000	7.00000	1.00000	141.00000	25.00000	1061.00000	
500000	7.00000	1.00000	147.00000	25.00000	954.00000	
501000	7.00000	1.00000	162.00000	32.00000	1291.00000	
502000	8.00000	5.00000	153.00000	29.00000	1279.00000	
503000	10.00000	5.00000	167.00000	47.00000	1991.00000	
504000	7.00000	6.00000	156.00000	29.00000	1263.00000	
505000	8.00000	5.00000	162.00000	35.00000	1452.00000	
506000	5.00000	2.00000	162.00000	19.00000	818.00000	
507000	3.00000	5.00000	170.00000	14.00000	427.00000	
508000	3.00000	4.00000	156.00000	14.00000	420.00000	
509000	5.00000	3.00000	156.00000	20.00000	881.00000	
510000	2.00000	2.00000	156.00000	10.00000	368.00000	
511000	6.00000	3.00000	144.00000	17.00000	613.00000	
512000	6.00000	2.00000	137.00000	19.00000	790.00000	
513000	2.00000	3.00000	163.00000	11.00000	419.00000	
514000	2.00000	3.00000	154.00000	9.00000	321.00000	
515000	5.00000	3.00000	149.00000	18.00000	697.00000	
